Set,Price_Euro,Pieces,Minifigs
Heartlake City Supermarket,29.23,140,2
Mia's Forest Adventure,14.99,134,1
Stephanie's Buggy & Trailer ,19.99,166,1
Emma's Art Studio,24.99,235,2
Olivia's Cupcake Cafe,29.23,335,2
Stephanie's Horse Jumping,38.98,337,2
Andrea's Talent Show,49.99,492,2
Mia's House,68.23,715,3
Mia's Horse Trailer,29.23,216,2
Stephanie's Gymnastics Show,29.23,241,2
Funny Octopus Ride,38.98,324,2
Andrea's Pool Party,48.73,468,2
Heartlake City Amusement Pier,126.71,1251,7
Turtles Rescue Mission,19.49,225,2
Dolphins Rescue Mission,38.98,363,2
Heartlake City Restaurant,58.48,624,3
Lighthouse Rescue Centre,58.48,602,2
Rescue Mission Boat,87.72,908,4
LEGO Friends Advent Calendar,24.99,330,3
Olivia's Hamster Playground,9.74,81,1
Andrea's Summer Heart Box,7.99,83,1
Emma's Summer Heart Box,7.99,86,1
Stephanie's Summer Heart Box,7.99,95,1
Olivia's Summer Heart Box,7.99,93,2.0
Mia's Summer Heart Box,7.99,85,1.0
Emmet,,113,
Wyldstyle,,134,
Benny,,103,
Sweet Mayhem,,137,
Cherry Picker,9.74,155,
Power Boat,14.99,174,
Getaway Truck,19.99,128,
Police Pursuit,19.49,120,
Rescue Helicopter,29.99,325,
Chevrolet Corvette ZR1,39.99,579,
Tracked Loader,59.99,827,
Remote-Controlled Stunt Racer,79.99,324,
Porsche 911 RSR,199.99,1580,
Compact Crawler Crane,87.72,920,
Car Transporter,149.99,2493,
4x4 X-Treme Off-Roader,229.99,958,
Liebherr R 9800,449.99,4108,
Land Rover Defender,199.99,2573,
Elsa's Ice Palace,69.99,701,7.0
City Shaper Challenge Kit,,2238,1.0
BOOMTOWN BUILD Inspire Set,,739,
BOOMTOWN BUILD Discovery Set,,78,4.0
Ski Resort,77.97,806,11.0
Jet Patrol,9.74,54,2
Sky Police Drone Chase,19.49,192,3
Parachute Arrest,29.23,218,4
Diamond Heist,49.99,400,4
Air Base,73.1,529,6
Barbecue Burn Out,9.74,64,2
Dock Side Fire,14.61,97,2
Burger Bar Fire Rescue,29.99,327,3
Fire Station,59.99,509,4
Downtown Fire Brigade,99.99,943,7
Fire Plane,38.98,363,3
Desert Rally Racer,9.99,75,1
Construction Loader,9.99,88,1
Garbage Truck,19.99,90,2
Diving Yacht,19.99,148,2
Snow Groomer,19.49,197,2
Harvester Transport,29.99,358,3
Satellite Service Mission,9.74,84,1
Rover Testing Drive,19.49,202,2
Mars Research Shuttle,29.99,273,2
Lunar Space Station,48.73,412,5
Deep Space Rocket and Launch Control,99.99,837,7
Rocket Assembly & Transport,129.99,1055,8
People Pack - Space Research and Development,38.98,209,15
Fire Chief Response Truck,19.49,201,2
